n_digits,base,samples,unique_attractors,most_common_attractor,attractor_uniqueness_ratio,dominant_attractor_frequency,attractor_distribution
1,77,50,1,0,1.0,1.0,{'0': 50}
1,78,50,1,0,1.0,1.0,{'0': 50}
1,79,50,1,0,1.0,1.0,{'0': 50}
1,80,50,1,0,1.0,1.0,{'0': 50}
1,81,50,1,0,1.0,1.0,{'0': 50}
1,82,50,1,0,1.0,1.0,{'0': 50}
1,83,50,1,0,1.0,1.0,{'0': 50}
1,84,50,1,0,1.0,1.0,{'0': 50}
1,85,50,1,0,1.0,1.0,{'0': 50}
1,86,50,1,0,1.0,1.0,{'0': 50}
1,87,50,1,0,1.0,1.0,{'0': 50}
1,88,50,1,0,1.0,1.0,{'0': 50}
1,89,50,1,0,1.0,1.0,{'0': 50}
1,90,50,1,0,1.0,1.0,{'0': 50}
1,91,50,1,0,1.0,1.0,{'0': 50}
1,92,50,1,0,1.0,1.0,{'0': 50}
1,93,50,1,0,1.0,1.0,{'0': 50}
1,94,50,1,0,1.0,1.0,{'0': 50}
1,95,50,1,0,1.0,1.0,{'0': 50}
1,96,50,1,0,1.0,1.0,{'0': 50}
1,97,50,1,0,1.0,1.0,{'0': 50}
1,98,50,1,0,1.0,1.0,{'0': 50}
1,99,50,1,0,1.0,1.0,{'0': 50}
1,100,50,1,0,1.0,1.0,{'0': 50}
2,2,50,1,01 → 01,0.02,1.0,{'01 → 01': 50}
2,3,50,1,00 → 00,0.02,1.0,{'00 → 00': 50}
2,4,50,2,03 → 21 → 03,0.04,0.86,"{'03 → 21 → 03': 43, '21 → 03 → 21': 7}"
2,5,50,2,13 → 13,0.04,0.82,"{'13 → 13': 41, '00 → 00': 9}"
2,6,50,3,23 → 05 → 41 → 23,0.06,0.56,"{'23 → 05 → 41 → 23': 28, '05 → 41 → 23 → 05': 19, '41 → 23 → 05 → 41': 3}"
2,7,50,1,00 → 00,0.02,1.0,{'00 → 00': 50}
2,8,50,4,07 → 61 → 43 → 07,0.08,0.4,"{'07 → 61 → 43 → 07': 20, '43 → 07 → 61 → 43': 17, '25 → 25': 9, '61 → 43 → 07 → 61': 4}"
2,9,50,3,17 → 53 → 17,0.06,0.58,"{'17 → 53 → 17': 29, '53 → 17 → 53': 16, '00 → 00': 5}"
2,10,50,5,09 → 81 → 63 → 27 → 45 → 09,0.1,0.32,"{'09 → 81 → 63 → 27 → 45 → 09': 16, '63 → 27 → 45 → 09 → 81 → 63': 14, '27 → 45 → 09 → 81 → 63 → 27': 10, '45 → 09 → 81 → 63 → 27 → 45': 9, '81 → 63 → 27 → 45 → 09 → 81': 1}"
2,11,50,2,37 → 37,0.04,0.76,"{'37 → 37': 38, '00 → 00': 12}"
2,12,50,6,47 → 29 → 65 → 0B → A1 → 83 → 47,0.12,0.3,"{'47 → 29 → 65 → 0B → A1 → 83 → 47': 15, '0B → A1 → 83 → 47 → 29 → 65 → 0B': 12, '83 → 47 → 29 → 65 → 0B → A1 → 83': 10, '29 → 65 → 0B → A1 → 83 → 47 → 29': 6, '65 → 0B → A1 → 83 → 47 → 29 → 65': 5, 'A1 → 83 → 47 → 29 → 65 → 0B → A1': 2}"
2,13,50,4,57 → 1B → 93 → 57,0.08,0.52,"{'57 → 1B → 93 → 57': 26, '1B → 93 → 57 → 1B': 13, '93 → 57 → 1B → 93': 8, '00 → 00': 3}"
2,14,50,7,A3 → 67 → 0D → C1 → A3,0.14,0.24,"{'A3 → 67 → 0D → C1 → A3': 12, '67 → 0D → C1 → A3 → 67': 10, '2B → 85 → 2B': 9, '49 → 49': 8, '0D → C1 → A3 → 67 → 0D': 6, '85 → 2B → 85': 3, 'C1 → A3 → 67 → 0D → C1': 2}"
2,15,50,1,00 → 00,0.02,1.0,{'00 → 00': 50}
2,16,50,8,4B → 69 → 2D → A5 → 4B,0.16,0.18,"{'4B → 69 → 2D → A5 → 4B': 9, '2D → A5 → 4B → 69 → 2D': 9, '0F → E1 → C3 → 87 → 0F': 8, '69 → 2D → A5 → 4B → 69': 7, '87 → 0F → E1 → C3 → 87': 6, 'C3 → 87 → 0F → E1 → C3': 6, 'A5 → 4B → 69 → 2D → A5': 4, 'E1 → C3 → 87 → 0F → E1': 1}"
2,17,50,5,1F → D3 → 97 → 1F,0.1,0.4,"{'1F → D3 → 97 → 1F': 20, '97 → 1F → D3 → 97': 13, 'D3 → 97 → 1F → D3': 8, '5B → 5B': 6, '00 → 00': 3}"
2,18,50,9,6B → 4D → 89 → 0H → G1 → E3 → A7 → 2F → C5 → 6B,0.18,0.26,"{'6B → 4D → 89 → 0H → G1 → E3 → A7 → 2F → C5 → 6B': 13, '2F → C5 → 6B → 4D → 89 → 0H → G1 → E3 → A7 → 2F': 9, 'E3 → A7 → 2F → C5 → 6B → 4D → 89 → 0H → G1 → E3': 8, 'A7 → 2F → C5 → 6B → 4D → 89 → 0H → G1 → E3 → A7': 7, '4D → 89 → 0H → G1 → E3 → A7 → 2F → C5 → 6B → 4D': 5, 'C5 → 6B → 4D → 89 → 0H → G1 → E3 → A7 → 2F → C5': 4, '89 → 0H → G1 → E3 → A7 → 2F → C5 → 6B → 4D → 89': 2, 'G1 → E3 → A7 → 2F → C5 → 6B → 4D → 89 → 0H → G1': 1, '0H → G1 → E3 → A7 → 2F → C5 → 6B → 4D → 89 → 0H': 1}"
2,19,50,3,3F → B7 → 3F,0.06,0.44,"{'3F → B7 → 3F': 22, 'B7 → 3F → B7': 21, '00 → 00': 7}"
2,20,50,8,G3 → C7 → 4F → A9 → 0J → I1 → G3,0.16,0.22,"{'G3 → C7 → 4F → A9 → 0J → I1 → G3': 11, '0J → I1 → G3 → C7 → 4F → A9 → 0J': 10, '8B → 2H → E5 → 8B': 8, '4F → A9 → 0J → I1 → G3 → C7 → 4F': 5, '6D → 6D': 5, '2H → E5 → 8B → 2H': 5, 'A9 → 0J → I1 → G3 → C7 → 4F → A9': 4, 'C7 → 4F → A9 → 0J → I1 → G3 → C7': 2}"
2,21,50,6,1J → H3 → D7 → 5F → 9B → 1J,0.12,0.3,"{'1J → H3 → D7 → 5F → 9B → 1J': 15, 'H3 → D7 → 5F → 9B → 1J → H3': 9, '9B → 1J → H3 → D7 → 5F → 9B': 8, 'D7 → 5F → 9B → 1J → H3 → D7': 8, '5F → 9B → 1J → H3 → D7 → 5F': 7, '00 → 00': 3}"
2,22,50,10,0L → K1 → I3 → E7 → 6F → 8D → 4H → C9 → 2J → G5 → AB → 0L,0.2,0.22,"{'0L → K1 → I3 → E7 → 6F → 8D → 4H → C9 → 2J → G5 → AB → 0L': 11, '8D → 4H → C9 → 2J → G5 → AB → 0L → K1 → I3 → E7 → 6F → 8D': 7, 'E7 → 6F → 8D → 4H → C9 → 2J → G5 → AB → 0L → K1 → I3 → E7': 6, '6F → 8D → 4H → C9 → 2J → G5 → AB → 0L → K1 → I3 → E7 → 6F': 6, 'C9 → 2J → G5 → AB → 0L → K1 → I3 → E7 → 6F → 8D → 4H → C9': 5, '2J → G5 → AB → 0L → K1 → I3 → E7 → 6F → 8D → 4H → C9 → 2J': 4, 'AB → 0L → K1 → I3 → E7 → 6F → 8D → 4H → C9 → 2J → G5 → AB': 4, 'I3 → E7 → 6F → 8D → 4H → C9 → 2J → G5 → AB → 0L → K1 → I3': 4, '4H → C9 → 2J → G5 → AB → 0L → K1 → I3 → E7 → 6F → 8D → 4H': 2, 'G5 → AB → 0L → K1 → I3 → E7 → 6F → 8D → 4H → C9 → 2J → G5': 1}"
2,23,50,2,7F → 7F,0.04,0.66,"{'7F → 7F': 33, '00 → 00': 17}"
