n_digits,base,samples,unique_attractors,most_common_attractor,attractor_uniqueness_ratio,attractor_distribution,dominant_attractor_frequency,has_single_attractor,is_trivial
1,2,100,1,0,1.0,{'0': 100},1.0,True,True
1,3,100,1,0,1.0,{'0': 100},1.0,True,True
1,4,100,1,0,1.0,{'0': 100},1.0,True,True
1,5,100,1,0,1.0,{'0': 100},1.0,True,True
1,6,100,1,0,1.0,{'0': 100},1.0,True,True
1,7,100,1,0,1.0,{'0': 100},1.0,True,True
1,8,100,1,0,1.0,{'0': 100},1.0,True,True
1,9,100,1,0,1.0,{'0': 100},1.0,True,True
1,10,100,1,0,1.0,{'0': 100},1.0,True,True
1,11,100,1,0,1.0,{'0': 100},1.0,True,True
1,12,100,1,0,1.0,{'0': 100},1.0,True,True
1,13,100,1,0,1.0,{'0': 100},1.0,True,True
1,14,100,1,0,1.0,{'0': 100},1.0,True,True
1,15,100,1,0,1.0,{'0': 100},1.0,True,True
1,16,100,1,0,1.0,{'0': 100},1.0,True,True
1,17,100,1,0,1.0,{'0': 100},1.0,True,True
1,18,100,1,0,1.0,{'0': 100},1.0,True,True
1,19,100,1,0,1.0,{'0': 100},1.0,True,True
1,20,100,1,0,1.0,{'0': 100},1.0,True,True
1,21,100,1,0,1.0,{'0': 100},1.0,True,True
1,22,100,1,0,1.0,{'0': 100},1.0,True,True
1,23,100,1,0,1.0,{'0': 100},1.0,True,True
1,24,100,1,0,1.0,{'0': 100},1.0,True,True
1,25,100,1,0,1.0,{'0': 100},1.0,True,True
1,26,100,1,0,1.0,{'0': 100},1.0,True,True
1,27,100,1,0,1.0,{'0': 100},1.0,True,True
1,28,100,1,0,1.0,{'0': 100},1.0,True,True
1,29,100,1,0,1.0,{'0': 100},1.0,True,True
1,30,100,1,0,1.0,{'0': 100},1.0,True,True
2,2,100,1,01 → 01,0.01,{'01 → 01': 100},1.0,True,False
2,3,100,1,00 → 00,0.01,{'00 → 00': 100},1.0,True,False
2,4,100,2,03 → 21 → 03,0.02,"{'03 → 21 → 03': 78, '21 → 03 → 21': 22}",0.78,False,False
2,5,100,2,13 → 13,0.02,"{'13 → 13': 86, '00 → 00': 14}",0.86,False,False
2,6,100,3,23 → 05 → 41 → 23,0.03,"{'23 → 05 → 41 → 23': 50, '05 → 41 → 23 → 05': 48, '41 → 23 → 05 → 41': 2}",0.5,False,False
2,7,100,1,00 → 00,0.01,{'00 → 00': 100},1.0,True,False
2,8,100,4,43 → 07 → 61 → 43,0.04,"{'43 → 07 → 61 → 43': 35, '07 → 61 → 43 → 07': 33, '25 → 25': 31, '61 → 43 → 07 → 61': 1}",0.35,False,False
2,9,100,3,17 → 53 → 17,0.03,"{'17 → 53 → 17': 59, '53 → 17 → 53': 35, '00 → 00': 6}",0.59,False,False
2,10,100,5,27 → 45 → 09 → 81 → 63 → 27,0.05,"{'27 → 45 → 09 → 81 → 63 → 27': 35, '09 → 81 → 63 → 27 → 45 → 09': 22, '63 → 27 → 45 → 09 → 81 → 63': 22, '45 → 09 → 81 → 63 → 27 → 45': 19, '81 → 63 → 27 → 45 → 09 → 81': 2}",0.35,False,False
2,11,100,2,37 → 37,0.02,"{'37 → 37': 74, '00 → 00': 26}",0.74,False,False
2,12,100,6,0B → A1 → 83 → 47 → 29 → 65 → 0B,0.06,"{'0B → A1 → 83 → 47 → 29 → 65 → 0B': 31, '47 → 29 → 65 → 0B → A1 → 83 → 47': 25, '29 → 65 → 0B → A1 → 83 → 47 → 29': 17, '83 → 47 → 29 → 65 → 0B → A1 → 83': 16, '65 → 0B → A1 → 83 → 47 → 29 → 65': 10, 'A1 → 83 → 47 → 29 → 65 → 0B → A1': 1}",0.31,False,False
2,13,100,4,1B → 93 → 57 → 1B,0.04,"{'1B → 93 → 57 → 1B': 39, '57 → 1B → 93 → 57': 28, '93 → 57 → 1B → 93': 22, '00 → 00': 11}",0.39,False,False
2,14,100,7,2B → 85 → 2B,0.07,"{'2B → 85 → 2B': 27, '0D → C1 → A3 → 67 → 0D': 18, 'A3 → 67 → 0D → C1 → A3': 17, '67 → 0D → C1 → A3 → 67': 13, '49 → 49': 12, '85 → 2B → 85': 11, 'C1 → A3 → 67 → 0D → C1': 2}",0.27,False,False
2,15,100,1,00 → 00,0.01,{'00 → 00': 100},1.0,True,False
2,16,100,7,4B → 69 → 2D → A5 → 4B,0.07,"{'4B → 69 → 2D → A5 → 4B': 19, '87 → 0F → E1 → C3 → 87': 18, '0F → E1 → C3 → 87 → 0F': 18, '69 → 2D → A5 → 4B → 69': 15, '2D → A5 → 4B → 69 → 2D': 14, 'C3 → 87 → 0F → E1 → C3': 12, 'A5 → 4B → 69 → 2D → A5': 4}",0.19,False,False
2,17,100,5,1F → D3 → 97 → 1F,0.05,"{'1F → D3 → 97 → 1F': 39, '97 → 1F → D3 → 97': 23, '5B → 5B': 23, 'D3 → 97 → 1F → D3': 8, '00 → 00': 7}",0.39,False,False
2,18,100,8,6B → 4D → 89 → 0H → G1 → E3 → A7 → 2F → C5 → 6B,0.08,"{'6B → 4D → 89 → 0H → G1 → E3 → A7 → 2F → C5 → 6B': 18, '4D → 89 → 0H → G1 → E3 → A7 → 2F → C5 → 6B → 4D': 17, '0H → G1 → E3 → A7 → 2F → C5 → 6B → 4D → 89 → 0H': 15, '2F → C5 → 6B → 4D → 89 → 0H → G1 → E3 → A7 → 2F': 15, 'A7 → 2F → C5 → 6B → 4D → 89 → 0H → G1 → E3 → A7': 14, '89 → 0H → G1 → E3 → A7 → 2F → C5 → 6B → 4D → 89': 11, 'E3 → A7 → 2F → C5 → 6B → 4D → 89 → 0H → G1 → E3': 7, 'C5 → 6B → 4D → 89 → 0H → G1 → E3 → A7 → 2F → C5': 3}",0.18,False,False
2,19,100,3,3F → B7 → 3F,0.03,"{'3F → B7 → 3F': 55, 'B7 → 3F → B7': 33, '00 → 00': 12}",0.55,False,False
2,20,100,10,8B → 2H → E5 → 8B,0.1,"{'8B → 2H → E5 → 8B': 18, '0J → I1 → G3 → C7 → 4F → A9 → 0J': 17, '2H → E5 → 8B → 2H': 13, '6D → 6D': 12, 'C7 → 4F → A9 → 0J → I1 → G3 → C7': 12, '4F → A9 → 0J → I1 → G3 → C7 → 4F': 11, 'G3 → C7 → 4F → A9 → 0J → I1 → G3': 8, 'E5 → 8B → 2H → E5': 4, 'A9 → 0J → I1 → G3 → C7 → 4F → A9': 4, 'I1 → G3 → C7 → 4F → A9 → 0J → I1': 1}",0.18,False,False
2,21,100,6,5F → 9B → 1J → H3 → D7 → 5F,0.06,"{'5F → 9B → 1J → H3 → D7 → 5F': 27, 'D7 → 5F → 9B → 1J → H3 → D7': 24, '1J → H3 → D7 → 5F → 9B → 1J': 18, '9B → 1J → H3 → D7 → 5F → 9B': 18, 'H3 → D7 → 5F → 9B → 1J → H3': 10, '00 → 00': 3}",0.27,False,False
2,22,100,11,2J → G5 → AB → 0L → K1 → I3 → E7 → 6F → 8D → 4H → C9 → 2J,0.11,"{'2J → G5 → AB → 0L → K1 → I3 → E7 → 6F → 8D → 4H → C9 → 2J': 19, 'AB → 0L → K1 → I3 → E7 → 6F → 8D → 4H → C9 → 2J → G5 → AB': 13, '6F → 8D → 4H → C9 → 2J → G5 → AB → 0L → K1 → I3 → E7 → 6F': 13, '0L → K1 → I3 → E7 → 6F → 8D → 4H → C9 → 2J → G5 → AB → 0L': 12, 'E7 → 6F → 8D → 4H → C9 → 2J → G5 → AB → 0L → K1 → I3 → E7': 10, '4H → C9 → 2J → G5 → AB → 0L → K1 → I3 → E7 → 6F → 8D → 4H': 10, 'I3 → E7 → 6F → 8D → 4H → C9 → 2J → G5 → AB → 0L → K1 → I3': 9, 'C9 → 2J → G5 → AB → 0L → K1 → I3 → E7 → 6F → 8D → 4H → C9': 8, '8D → 4H → C9 → 2J → G5 → AB → 0L → K1 → I3 → E7 → 6F → 8D': 4, 'K1 → I3 → E7 → 6F → 8D → 4H → C9 → 2J → G5 → AB → 0L → K1': 1, 'G5 → AB → 0L → K1 → I3 → E7 → 6F → 8D → 4H → C9 → 2J → G5': 1}",0.19,False,False
2,23,100,2,7F → 7F,0.02,"{'7F → 7F': 69, '00 → 00': 31}",0.69,False,False
2,24,100,11,8F → 6H → AD → 2L → I5 → CB → 0N → M1 → K3 → G7 → 8F,0.11,"{'8F → 6H → AD → 2L → I5 → CB → 0N → M1 → K3 → G7 → 8F': 17, '6H → AD → 2L → I5 → CB → 0N → M1 → K3 → G7 → 8F → 6H': 11, 'K3 → G7 → 8F → 6H → AD → 2L → I5 → CB → 0N → M1 → K3': 11, '4J → E9 → 4J': 10, '2L → I5 → CB → 0N → M1 → K3 → G7 → 8F → 6H → AD → 2L': 10, 'CB → 0N → M1 → K3 → G7 → 8F → 6H → AD → 2L → I5 → CB': 9, 'E9 → 4J → E9': 9, '0N → M1 → K3 → G7 → 8F → 6H → AD → 2L → I5 → CB → 0N': 8, 'G7 → 8F → 6H → AD → 2L → I5 → CB → 0N → M1 → K3 → G7': 7, 'AD → 2L → I5 → CB → 0N → M1 → K3 → G7 → 8F → 6H → AD': 6, 'I5 → CB → 0N → M1 → K3 → G7 → 8F → 6H → AD → 2L → I5': 2}",0.17,False,False
2,25,100,7,DB → 1N → L3 → H7 → 9F → 5J → DB,0.07,"{'DB → 1N → L3 → H7 → 9F → 5J → DB': 21, '9F → 5J → DB → 1N → L3 → H7 → 9F': 21, 'H7 → 9F → 5J → DB → 1N → L3 → H7': 19, '5J → DB → 1N → L3 → H7 → 9F → 5J': 17, '1N → L3 → H7 → 9F → 5J → DB → 1N': 13, 'L3 → H7 → 9F → 5J → DB → 1N → L3': 6, '00 → 00': 3}",0.21,False,False
2,26,100,12,0P → O1 → M3 → I7 → AF → 4L → G9 → 6J → CD → 0P,0.12,"{'0P → O1 → M3 → I7 → AF → 4L → G9 → 6J → CD → 0P': 13, '8H → 8H': 12, '6J → CD → 0P → O1 → M3 → I7 → AF → 4L → G9 → 6J': 11, '2N → K5 → EB → 2N': 10, 'I7 → AF → 4L → G9 → 6J → CD → 0P → O1 → M3 → I7': 10, 'CD → 0P → O1 → M3 → I7 → AF → 4L → G9 → 6J → CD': 10, '4L → G9 → 6J → CD → 0P → O1 → M3 → I7 → AF → 4L': 9, 'EB → 2N → K5 → EB': 8, 'AF → 4L → G9 → 6J → CD → 0P → O1 → M3 → I7 → AF': 6, 'M3 → I7 → AF → 4L → G9 → 6J → CD → 0P → O1 → M3': 5, 'G9 → 6J → CD → 0P → O1 → M3 → I7 → AF → 4L → G9': 5, 'K5 → EB → 2N → K5': 1}",0.13,False,False
2,27,100,4,3N → J7 → BF → 3N,0.04,"{'3N → J7 → BF → 3N': 41, 'BF → 3N → J7 → BF': 27, 'J7 → BF → 3N → J7': 23, '00 → 00': 9}",0.41,False,False
